 [2022-10-11 23:10:25,893] Pre-Condition: Open browser and navigate to Homepage
 [2022-10-11 23:11:05,414] Pre-Condition: Open browser and navigate to Homepage
 [2022-10-11 23:11:15,564] Checkout - Step 01: Click to 'Web Themes & Templates' menu
 [2022-10-11 23:11:15,565] Checkout - Step 02: Click to 'Template Kits' link from 'Elementor' submenu
 [2022-10-11 23:11:15,565] Checkout - Step 03: Choose Grid View mode
 [2022-10-11 23:11:15,565] Checkout - Step 04: Add product '' to Cart
 [2022-10-11 23:11:15,565] Checkout - Step 04: Click to 'Keep Browsing' button to continue choosing next product
 [2022-10-11 23:11:15,566] Checkout - Step 04: Add product '' to Cart
 [2022-10-11 23:11:15,566] Checkout - Step 04: Add product '' to Cart
 [2022-10-11 23:17:47,221] Pre-Condition: Open browser and navigate to Homepage
 [2022-10-11 23:17:54,506] Checkout - Step 01: Click to 'Web Themes & Templates' menu
 [2022-10-11 23:17:54,506] Checkout - Step 02: Click to 'Template Kits' link from 'Elementor' submenu
 [2022-10-11 23:17:54,507] Checkout - Step 03: Choose Grid View mode
 [2022-10-11 23:17:54,507] Checkout - Step 04: Add product '' to Cart
 [2022-10-11 23:17:54,507] Checkout - Step 04: Click to 'Keep Browsing' button to continue choosing next product
 [2022-10-11 23:17:54,507] Checkout - Step 04: Add product '' to Cart
 [2022-10-11 23:17:54,507] Checkout - Step 04: Add product '' to Cart
 [2022-10-11 23:18:18,082] Pre-Condition: Open browser and navigate to Homepage
 [2022-10-11 23:18:29,632] Checkout - Step 01: Click to 'Web Themes & Templates' menu
 [2022-10-11 23:18:29,632] Checkout - Step 02: Click to 'Template Kits' link from 'Elementor' submenu
 [2022-10-11 23:18:29,633] Checkout - Step 03: Choose Grid View mode
 [2022-10-11 23:18:29,633] Checkout - Step 04: Add product '' to Cart
 [2022-10-11 23:18:29,633] Checkout - Step 04: Click to 'Keep Browsing' button to continue choosing next product
 [2022-10-11 23:18:29,633] Checkout - Step 04: Add product '' to Cart
 [2022-10-11 23:18:29,633] Checkout - Step 04: Add product '' to Cart
